industry,industry_group,country,value
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Romania,11.66154851683431
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Slovenia,21.734769132635538
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Slovakia,16.907243796384048
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Finland,25.818164134899135
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Sweden,31.100338184436755
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",United Kingdom,22.67443798279236
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Norway,33.832932981290035
GHI,"Wholesale and retail trade, transport, accommodation and food service activities",Switzerland,43.00905375252711
J,Information and communication,Belgium,59.65124969013643
J,Information and communication,Bulgaria,29.345818600793088
J,Information and communication,Czech Republic,40.03371270477589
J,Information and communication,Denmark,46.876352970768494
J,Information and communication,Germany,60.08252179316182
J,Information and communication,Estonia,31.065192665274992
J,Information and communication,Ireland,100.30013730965483
J,Information and communication,Greece,27.128820301575153
J,Information and communication,Spain,43.961949301206246
J,Information and communication,France,62.209431698160515
J,Information and communication,Croatia,27.066587488077236
J,Information and communication,Italy,42.77362969189718
J,Information and communication,Cyprus,45.57860971112864
J,Information and communication,Latvia,27.264607688840357
J,Information and communication,Lithuania,41.381074251674626
J,Information and communication,Luxembourg,77.89428488282303
J,Information and communication,Hungary,32.826332037885194
J,Information and communication,Netherlands,47.66398016410604
J,Information and communication,Austria,45.30272600042343
J,Information and communication,Poland,37.1120390482366
J,Information and communication,Portugal,33.88186904636287
J,Information and communication,Romania,51.61647666055763
J,Information and communication,Slovenia,31.433198802887564
J,Information and communication,Slovakia,34.1350447064355
J,Information and communication,Finland,47.68444627245274
J,Information and communication,Sweden,56.98004149625676
J,Information and communication,United Kingdom,37.67683889675341
J,Information and communication,Norway,55.95548266621952
J,Information and communication,Switzerland,45.14949347930953
K,Financial and insurance activities,Belgium,88.103379847198525
K,Financial and insurance activities,Bulgaria,63.41031294719477
K,Financial and insurance activities,Czech Republic,59.11678387959226
K,Financial and insurance activities,Denmark,72.01052439581822
K,Financial and insurance activities,Germany,51.460369312484175
K,Financial and insurance activities,Estonia,57.22182718255072
K,Financial and insurance activities,Ireland,62.39700639707928
K,Financial and insurance activities,Greece,49.92683971796048
K,Financial and insurance activities,Spain,55.78497828664123
K,Financial and insurance activities,France,53.23990869108
K,Financial and insurance activities,Croatia,56.95132546630444
K,Financial and insurance activities,Italy,59.4052224732922
K,Financial and insurance activities,Cyprus,64.28431374822682
K,Financial and insurance activities,Latvia,46.942672572096036
K,Financial and insurance activities,Lithuania,37.76051885253395
K,Financial and insurance activities,Luxembourg,106.82522696340425
K,Financial and insurance activities,Hungary,41.11691381417997
K,Financial and insurance activities,Netherlands,90.4515929622939
K,Financial and insurance activities,Austria,48.69025789724145
K,Financial and insurance activities,Poland,41.660573757862664
K,Financial and insurance activities,Portugal,65.20089444515055
K,Financial and insurance activities,Romania,60.824347997756476
K,Financial and insurance activities,Slovenia,40.17433315836103
K,Financial and insurance activities,Slovakia,60.43752068066387
K,Financial and insurance activities,Finland,47.199389364654735
K,Financial and insurance activities,Sweden,76.47034368835581
K,Financial and insurance activities,United Kingdom,48.359562828932084
K,Financial and insurance activities,Norway,109.50965555631717
K,Financial and insurance activities,Switzerland,63.24405438758707
MN,"Professional, scientific and technical activities; administrative and support service activities",Belgium,24.53515687997425
MN,"Professional, scientific and technical activities; administrative and support service activities",Bulgaria,14.696489412618114
MN,"Professional, scientific and technical activities; administrative and support service activities",Czech Republic,19.914815133515948
MN,"Professional, scientific and technical activities; administrative and support service activities",Denmark,26.976614978611646
MN,"Professional, scientific and technical activities; administrative and support service activities",Germany,31.992896517689033
MN,"Professional, scientific and technical activities; administrative and support service activities",Estonia,24.905669509467614
MN,"Professional, scientific and technical activities; administrative and support service activities",Ireland,36.499863129343865
MN,"Professional, scientific and technical activities; administrative and support service activities",Greece,12.507424876374564
MN,"Professional, scientific and technical activities; administrative and support service activities",Spain,19.172541917173053
MN,"Professional, scientific and technical activities; administrative and support service activities",France,31.13475085985314
MN,"Professional, scientific and technical activities; administrative and support service activities",Croatia,26.218404940539987
MN,"Professional, scientific and technical activities; administrative and support service activities",Italy,23.328083126707398
MN,"Professional, scientific and technical activities; administrative and support service activities",Cyprus,26.30600339182278
MN,"Professional, scientific and technical activities; administrative and support service activities",Latvia,16.257271302418065
MN,"Professional, scientific and technical activities; administrative and support service activities",Lithuania,21.93811636109875
MN,"Professional, scientific and technical activities; administrative and support service activities",Luxembourg,31.517263918851018
MN,"Professional, scientific and technical activities; administrative and support service activities",Hungary,20.75822158594203
MN,"Professional, scientific and technical activities; administrative and support service activities",Netherlands,25.068246705703977
MN,"Professional, scientific and technical activities; administrative and support service activities",Austria,26.914732561027293
MN,"Professional, scientific and technical activities; administrative and support service activities",Poland,26.01240608443253
MN,"Professional, scientific and technical activities; administrative and support service activities",Portugal,13.464220384891137
MN,"Professional, scientific and technical activities; administrative and support service activities",Romania,31.738111488674658
MN,"Professional, scientific and technical activities; administrative and support service activities",Slovenia,18.069892318754277
MN,"Professional, scientific and technical activities; administrative and support service activities",Slovakia,22.41582626849324
MN,"Professional, scientific and technical activities; administrative and support service activities",Finland,21.420447016079418
MN,"Professional, scientific and technical activities; administrative and support service activities",Sweden,33.3001221954617
MN,"Professional, scientific and technical activities; administrative and support service activities",United Kingdom,18.235530132362364
MN,"Professional, scientific and technical activities; administrative and support service activities",Norway,31.906888100855173
MN,"Professional, scientific and technical activities; administrative and support service activities",Switzerland,39.53762228257521
OPQ,"Public administration, defence, education, human health and social work activities",Belgium,28.173123564900127
OPQ,"Public administration, defence, education, human health and social work activities",Bulgaria,20.90348941436913
OPQ,"Public administration, defence, education, human health and social work activities",Czech Republic,25.96555207873772
OPQ,"Public administration, defence, education, human health and social work activities",Denmark,24.77941321159943
OPQ,"Public administration, defence, education, human health and social work activities",Germany,27.90071180505047
OPQ,"Public administration, defence, education, human health and social work activities",Estonia,15.937557575383051
OPQ,"Public administration, defence, education, human health and social work activities",Ireland,22.530639542005883
OPQ,"Public administration, defence, education, human health and social work activities",Greece,25.603642296837524
OPQ,"Public administration, defence, education, human health and social work activities",Spain,24.391741765288025
OPQ,"Public administration, defence, education, human health and social work activities",France,29.202898509521713
OPQ,"Public administration, defence, education, human health and social work activities",Croatia,15.80239878399671
OPQ,"Public administration, defence, education, human health and social work activities",Italy,30.344280657388357
OPQ,"Public administration, defence, education, human health and social work activities",Cyprus,22.854169134401104
OPQ,"Public administration, defence, education, human health and social work activities",Latvia,16.806651928524126
OPQ,"Public administration, defence, education, human health and social work activities",Lithuania,20.712295282043026
OPQ,"Public administration, defence, education, human health and social work activities",Luxembourg,26.35375571788791
OPQ,"Public administration, defence, education, human health and social work activities",Hungary,20.251412918833086
OPQ,"Public administration, defence, education, human health and social work activities",Netherlands,30.641628826834914
OPQ,"Public administration, defence, education, human health and social work activities",Austria,24.06814101511311
OPQ,"Public administration, defence, education, human health and social work activities",Poland,18.018083850852992
OPQ,"Public administration, defence, education, human health and social work activities",Portugal,19.083982461147695
OPQ,"Public administration, defence, education, human health and social work activities",Romania,28.28248110166766
OPQ,"Public administration, defence, education, human health and social work activities",Slovenia,19.711916458772897
OPQ,"Public administration, defence, education, human health and social work activities",Slovakia,22.305587856138747
OPQ,"Public administration, defence, education, human health and social work activities",Finland,22.141681827192794
OPQ,"Public administration, defence, education, human health and social work activities",Sweden,15.606318604800165
OPQ,"Public administration, defence, education, human health and social work activities",United Kingdom,20.535203434111303
OPQ,"Public administration, defence, education, human health and social work activities",Norway,22.91630699259695
OPQ,"Public administration, defence, education, human health and social work activities",Switzerland,25.54192181365963
RSTU,"Arts, entertainment and recreation; other service activities",Belgium,19.696975722459403
RSTU,"Arts, entertainment and recreation; other service activities",Bulgaria,18.49269448116618
RSTU,"Arts, entertainment and recreation; other service activities",Czech Republic,17.043863185873782
RSTU,"Arts, entertainment and recreation; other service activities",Denmark,22.360613242193434
RSTU,"Arts, entertainment and recreation; other service activities",Germany,22.099464837721257
RSTU,"Arts, entertainment and recreation; other service activities",Estonia,10.017288256052616
RSTU,"Arts, entertainment and recreation; other service activities",Ireland,17.449499916017242
RSTU,"Arts, entertainment and recreation; other service activities",Greece,12.48949674179642
RSTU,"Arts, entertainment and recreation; other service activities",Spain,14.695442590510666
RSTU,"Arts, entertainment and recreation; other service activities",France,18.401619410704605
RSTU,"Arts, entertainment and recreation; other service activities",Croatia,17.817716893096893
RSTU,"Arts, entertainment and recreation; other service activities",Italy,11.860532452235352
RSTU,"Arts, entertainment and recreation; other service activities",Cyprus,11.860090036362976
RSTU,"Arts, entertainment and recreation; other service activities",Latvia,14.4664768571752
RSTU,"Arts, entertainment and recreation; other service activities",Lithuania,13.692357203921532
RSTU,"Arts, entertainment and recreation; other service activities",Luxembourg,22.562137125057436
RSTU,"Arts, entertainment and recreation; other service activities",Hungary,17.172896253573576
RSTU,"Arts, entertainment and recreation; other service activities",Netherlands,20.69420426742752
RSTU,"Arts, entertainment and recreation; other service activities",Austria,17.624550194530386
RSTU,"Arts, entertainment and recreation; other service activities",Poland,18.45907002133462
RSTU,"Arts, entertainment and recreation; other service activities",Portugal,11.212669015185336
RSTU,"Arts, entertainment and recreation; other service activities",Romania,25.433938509887376
RSTU,"Arts, entertainment and recreation; other service activities",Slovenia,17.00271090578936
RSTU,"Arts, entertainment and recreation; other service activities",Slovakia,35.463180846536076
RSTU,"Arts, entertainment and recreation; other service activities",Finland,17.115953375231847
RSTU,"Arts, entertainment and recreation; other service activities",Sweden,18.43701957133856
RSTU,"Arts, entertainment and recreation; other service activities",United Kingdom,17.968866585856865
RSTU,"Arts, entertainment and recreation; other service activities",Norway,20.898155136451464
RSTU,"Arts, entertainment and recreation; other service activities",Switzerland,19.18431171417123
